county_fips,latitude,longitude,weight
17007,42.2,-88.9,0.11023714054406965
17007,42.2,-88.8,0.12125711348472239
17007,42.2,-88.7,0.05384351743942144
17007,42.3,-88.9,0.11361568528893744
17007,42.3,-88.8,0.12536114559383454
17007,42.3,-88.7,0.05568373125058933
17007,42.4,-88.9,0.11340556942276489
17007,42.4,-88.8,0.12516478644230108
17007,42.4,-88.7,0.05523057015416682
17007,42.5,-88.9,0.04994691533063017
17007,42.5,-88.8,0.053047875654654866
17007,42.5,-88.7,0.02320594939390732
17011,41.1,-89.6,0.0005046671082238664
17011,41.1,-89.5,0.0004867422739760716
17011,41.2,-89.9,0.0004830020987543535
17011,41.2,-89.8,0.006484647825069415
17011,41.2,-89.7,0.006632384843938478
17011,41.2,-89.6,0.03724557993315573
17011,41.2,-89.5,0.03551798160502897
17011,41.2,-89.4,0.006534492074255038
17011,41.3,-89.9,0.002854896130190437
17011,41.3,-89.8,0.041109488199385195
17011,41.3,-89.7,0.04110948819938323
17011,41.3,-89.6,0.04110948819938468
17011,41.3,-89.5,0.04110948819938288
17011,41.3,-89.4,0.04110327099986918
17011,41.3,-89.3,0.017956459977377413
17011,41.3,-89.2,0.013206979786785221
17011,41.4,-89.9,0.0028314175612463273
17011,41.4,-89.8,0.04104734624780029
17011,41.4,-89.7,0.041047346247799404
17011,41.4,-89.6,0.04104734624780001
17011,41.4,-89.5,0.041047346247799564
17011,41.4,-89.4,0.04104734624779835
17011,41.4,-89.3,0.04104734624780269
17011,41.4,-89.2,0.034807628129875756
17011,41.5,-89.9,0.0032768163706174682
17011,41.5,-89.8,0.040985076775863695
17011,41.5,-89.7,0.040985076775867095
17011,41.5,-89.6,0.04098507677586973
17011,41.5,-89.5,0.04098507677586751
17011,41.5,-89.4,0.0409850767758681
17011,41.5,-89.3,0.04098507677587315
17011,41.5,-89.2,0.03426465457285908
17011,41.6,-89.9,0.0015926915697590759
17011,41.6,-89.8,0.01399778606685942
17011,41.6,-89.7,0.014192444410312439
17011,41.6,-89.6,0.014340547992375266
17011,41.6,-89.5,0.0143357742177227
17011,41.6,-89.4,0.014309330776803226
17011,41.6,-89.3,0.014348194680068356
17011,41.6,-89.2,0.012059118055331238
17015,41.9,-90.2,0.0013662997326613186
17015,41.9,-90.1,0.015522660994527404
17015,41.9,-90.0,0.014645228195570589
17015,41.9,-89.9,0.0144963607792722
17015,41.9,-89.8,0.01496061016915207
17015,41.9,-89.7,0.009451761800229476
17015,42.0,-90.2,0.0036174790861406474
17015,42.0,-90.1,0.07393816603629168
17015,42.0,-90.0,0.07608865481194144
17015,42.0,-89.9,0.07608865481193963
17015,42.0,-89.8,0.07608865481194226
17015,42.0,-89.7,0.0490061654987468
17015,42.1,-90.2,0.01826704236770503
17015,42.1,-90.1,0.07597073670696616
17015,42.1,-90.0,0.07597073670696511
17015,42.1,-89.9,0.07597073670696859
17015,42.1,-89.8,0.07597073670696951
17015,42.1,-89.7,0.048550390968200824
17015,42.2,-90.3,0.006796503167236124
17015,42.2,-90.2,0.03101052904820708
17015,42.2,-90.1,0.03568860316674222
17015,42.2,-90.0,0.03566538801168988
17015,42.2,-89.9,0.035623970394905266
17015,42.2,-89.8,0.03634620041229487
17015,42.2,-89.7,0.022897728906733906
17025,38.6,-88.7,0.016761164186702805
17025,38.6,-88.6,0.03422187463139188
17025,38.6,-88.5,0.03565660328001723
17025,38.6,-88.4,0.0375558778266351
17025,38.6,-88.3,0.027723956730656946
17025,38.6,-88.2,5.053586450518671e-06
17025,38.7,-88.7,0.03768664053860728
17025,38.7,-88.6,0.07940927442526004
17025,38.7,-88.5,0.0794092744252586
17025,38.7,-88.4,0.07940927442525325
17025,38.7,-88.3,0.057841312882845185
17025,38.8,-88.7,0.036248602139205305
17025,38.8,-88.6,0.07929993161117015
17025,38.8,-88.5,0.0792999316111708
17025,38.8,-88.4,0.07929993161116872
17025,38.8,-88.3,0.0720993888847015
17025,38.9,-88.7,0.02265621309448444
17025,38.9,-88.6,0.05164281445440463
17025,38.9,-88.5,0.05034367618045426
17025,38.9,-88.4,0.043238102392364565
17025,38.9,-88.3,0.00019110108179677137
17033,38.8,-87.8,0.00021894623858144965
17033,38.8,-87.7,1.3944596307592016e-05
17033,38.9,-87.9,0.07945270182036748
17033,38.9,-87.8,0.08337200078112537
17033,38.9,-87.7,0.08241277897387371
17033,38.9,-87.6,0.0816330121987371
17033,38.9,-87.5,0.015059310107057699
17033,39.0,-87.9,0.07998738699152141
17033,39.0,-87.8,0.08329826081421075
17033,39.0,-87.7,0.0832982608142135
17033,39.0,-87.6,0.0697688599631021
17033,39.0,-87.5,0.005939420247772549
17033,39.1,-87.9,0.0817238017500424
17033,39.1,-87.8,0.0831823123150691
17033,39.1,-87.7,0.08202791142295834
17033,39.1,-87.6,0.025178860412163096
17033,39.2,-88.0,3.27837974032931e-05
17033,39.2,-87.9,0.021528212801886756
17033,39.2,-87.8,0.023450082895136507
17033,39.2,-87.7,0.017844081464010616
17033,39.2,-87.6,0.0005770695944591811
17049,38.9,-88.8,0.01650510618960494
17049,38.9,-88.7,0.027647603098884147
17049,38.9,-88.6,0.026946736089022722
17049,38.9,-88.5,0.028217541032327896
17049,38.9,-88.4,0.026128190692503293
17049,39.0,-88.8,0.04341499296275198
17049,39.0,-88.7,0.07735581801132005
17049,39.0,-88.6,0.07735581801131955
17049,39.0,-88.5,0.07735581801131908
17049,39.0,-88.4,0.06782978631259598
17049,39.1,-88.8,0.043032474566308404
17049,39.1,-88.7,0.07724814120137188
17049,39.1,-88.6,0.0772481412013735
17049,39.1,-88.5,0.07724814120136886
17049,39.1,-88.4,0.06896391692725168
17049,39.2,-88.8,0.028282991730357063
17049,39.2,-88.7,0.05083279824751165
17049,39.2,-88.6,0.05054114865904616
17049,39.2,-88.5,0.04316915688831314
17049,39.2,-88.4,0.014675678965448002
17055,37.9,-89.2,0.0006730779017726824
17055,37.9,-89.1,0.07679112760828517
17055,37.9,-89.0,0.07681712813691204
17055,37.9,-88.9,0.076519725862878
17055,37.9,-88.8,0.07588362211897846
17055,37.9,-88.7,0.03278386796120922
17055,38.0,-89.2,0.00259245601090072
17055,38.0,-89.1,0.08196217819635607
17055,38.0,-89.0,0.08723727859593368
17055,38.0,-88.9,0.08723727859594083
17055,38.0,-88.8,0.08723727859593863
17055,38.0,-88.7,0.03826178748638594
17055,38.1,-89.1,0.04852413207728973
17055,38.1,-89.0,0.06552500519021451
17055,38.1,-88.9,0.06613065608512349
17055,38.1,-88.8,0.06637417629151157
17055,38.1,-88.7,0.0294492232843693
17057,40.2,-90.5,0.00033204357490668635
17057,40.2,-90.4,0.025501859425793014
17057,40.2,-90.3,0.026271897731607784
17057,40.2,-90.2,0.02293532050260094
17057,40.2,-90.1,0.00335363266967278
17057,40.3,-90.5,5.63638169645493e-05
17057,40.3,-90.4,0.041113031036669995
17057,40.3,-90.3,0.041297539047803845
17057,40.3,-90.2,0.041297539047803415
17057,40.3,-90.1,0.031222010866042475
17057,40.3,-90.0,7.753946935180142e-07
17057,40.4,-90.4,0.04041177518738994
17057,40.4,-90.3,0.04123730337932274
17057,40.4,-90.2,0.04123730337932125
17057,40.4,-90.1,0.04120658474431089
17057,40.4,-90.0,0.024331228816268823
17057,40.4,-89.9,0.002753439989164139
17057,40.5,-90.4,0.0400364653754775
17057,40.5,-90.3,0.041176939833426324
17057,40.5,-90.2,0.04117693983342558
17057,40.5,-90.1,0.04117693983342264
17057,40.5,-90.0,0.041176939833420266
17057,40.5,-89.9,0.027357219841919845
17057,40.6,-90.4,0.03950048820476837
17057,40.6,-90.3,0.04111644857407011
17057,40.6,-90.2,0.0411164485740706
17057,40.6,-90.1,0.04111644857407178
17057,40.6,-90.0,0.03724080013441507
17057,40.6,-89.9,0.02372635303530713
17057,40.7,-90.4,0.02508086924490254
17057,40.7,-90.3,0.02624450029244232
17057,40.7,-90.2,0.026100625437737803
17057,40.7,-90.1,0.025945977776572246
17057,40.7,-90.0,0.016149946990213028
17075,40.5,-88.1,0.013707253778307766
17075,40.5,-88.0,0.02041549084576092
17075,40.5,-87.9,0.020698929821766073
17075,40.5,-87.8,0.020255781172589072
17075,40.5,-87.7,0.020112829592437036
17075,40.5,-87.6,0.01966417261944472
17075,40.5,-87.5,0.004537949060348902
17075,40.6,-88.1,0.022451697015483742
17075,40.6,-88.0,0.03243563212351452
17075,40.6,-87.9,0.032435632123510555
17075,40.6,-87.8,0.032435632123510215
17075,40.6,-87.7,0.03243563212351197
17075,40.6,-87.6,0.03243563212351509
17075,40.6,-87.5,0.007712448469313445
17075,40.7,-88.1,0.023664063035867773
17075,40.7,-88.0,0.03238781161768415
17075,40.7,-87.9,0.03238781161768379
17075,40.7,-87.8,0.03238781161768459
17075,40.7,-87.7,0.032387811617683636
17075,40.7,-87.6,0.03238781161768131
17075,40.7,-87.5,0.0077305337592693
17075,40.8,-88.1,0.02476064983980155
17075,40.8,-88.0,0.03233989062205807
17075,40.8,-87.9,0.03233989062205888
17075,40.8,-87.8,0.03233989062205968
17075,40.8,-87.7,0.0323398906220597
17075,40.8,-87.6,0.03233989062206012
17075,40.8,-87.5,0.007797457009780655
17075,40.9,-88.1,0.02568834313396935
17075,40.9,-88.0,0.03229186926700081
17075,40.9,-87.9,0.032291869267001796
17075,40.9,-87.8,0.0322918692670012
17075,40.9,-87.7,0.03229186926700206
17075,40.9,-87.6,0.032291869267003816
17075,40.9,-87.5,0.007724352512235151
17075,41.0,-88.1,0.012725381692283802
17075,41.0,-88.0,0.01624073751885735
17075,41.0,-87.9,0.01707652202154027
17075,41.0,-87.8,0.017747556629921505
17075,41.0,-87.7,0.01838865563597916
17075,41.0,-87.6,0.01900871809419003
17075,41.0,-87.5,0.0046144585895663715
17081,38.1,-89.1,0.016158370174189515
17081,38.1,-89.0,0.015962424467238123
17081,38.1,-88.9,0.015514747560466393
17081,38.1,-88.8,0.01533474555989292
17081,38.1,-88.7,0.00720364917263686
17081,38.2,-89.1,0.0630198039267856
17081,38.2,-89.0,0.06430955762347136
17081,38.2,-88.9,0.06430955762347139
17081,38.2,-88.8,0.06430955762347616
17081,38.2,-88.7,0.029862689879380365
17081,38.3,-89.1,0.06180192363832452
17081,38.3,-89.0,0.06422259749457236
17081,38.3,-88.9,0.06422259749456731
17081,38.3,-88.8,0.0642225974945666
17081,38.3,-88.7,0.03128319415571219
17081,38.4,-89.1,0.06114366651316977
17081,38.4,-89.0,0.06413543896473022
17081,38.4,-88.9,0.06413543896473288
17081,38.4,-88.8,0.0641354389647306
17081,38.4,-88.7,0.032331220676007216
17081,38.5,-89.1,0.014622025195224366
17081,38.5,-89.0,0.015997014166577724
17081,38.5,-88.9,0.017005884868868164
17081,38.5,-88.8,0.016507119163110217
17081,38.5,-88.7,0.008248738634097117
17089,41.7,-88.6,0.010672920833885812
17089,41.7,-88.5,0.019769890441639047
17089,41.7,-88.4,0.018832734025533173
17089,41.7,-88.3,0.015667252767732967
17089,41.8,-88.6,0.03550502431765038
17089,41.8,-88.5,0.06799267316531346
17089,41.8,-88.4,0.06799267316531189
17089,41.8,-88.3,0.05947449709479809
17089,41.9,-88.6,0.03497464781951521
17089,41.9,-88.5,0.06788804829678093
17089,41.9,-88.4,0.06788804829678118
17089,41.9,-88.3,0.059369504275258264
17089,42.0,-88.6,0.03490588202514338
17089,42.0,-88.5,0.06778321233025204
17089,42.0,-88.4,0.06778321233024576
17089,42.0,-88.3,0.058935972263534676
17089,42.1,-88.6,0.02749169132610964
17089,42.1,-88.5,0.0676781655533376
17089,42.1,-88.4,0.06767816555334043
17089,42.1,-88.3,0.06612396028002343
17089,42.1,-88.2,0.006565586297553184
17089,42.2,-88.6,0.0009445102504030935
17089,42.2,-88.5,0.002517896373483875
17089,42.2,-88.4,0.0026444791800403155
17089,42.2,-88.3,0.0026153689328574765
17089,42.2,-88.2,0.00030398280347472187
17095,40.7,-90.4,0.016822027828769636
17095,40.7,-90.3,0.0181606551908907
17095,40.7,-90.2,0.018337064852943282
17095,40.7,-90.1,0.01852668340511925
17095,40.7,-90.0,0.012042361095824546
17095,40.8,-90.4,0.04673869927975385
17095,40.8,-90.3,0.05026541193617163
17095,40.8,-90.2,0.05026541193617341
17095,40.8,-90.1,0.05026541193617034
17095,40.8,-90.0,0.03247219653624584
17095,40.9,-90.4,0.045968419384411506
17095,40.9,-90.3,0.05019077305683886
17095,40.9,-90.2,0.050190773056837
17095,40.9,-90.1,0.050190773056837196
17095,40.9,-90.0,0.03241364169369527
17095,41.0,-90.4,0.045252809038499944
17095,41.0,-90.3,0.05011597839365659
17095,41.0,-90.2,0.05011597839365655
17095,41.0,-90.1,0.05011597839365495
17095,41.0,-90.0,0.03240645046659119
17095,41.1,-90.4,0.0443743821036634
17095,41.1,-90.3,0.05004102815042002
17095,41.1,-90.2,0.05004102815041914
17095,41.1,-90.1,0.04997077948622966
17095,41.1,-90.0,0.032457409742923764
17095,41.2,-90.4,0.0005652113601593705
17095,41.2,-90.3,0.0007209710734831608
17095,41.2,-90.2,0.0008572204654688138
17095,41.2,-90.1,0.00011447053449117969
17105,40.6,-88.6,0.002856314443392605
17105,40.6,-88.5,0.011422300874549932
17105,40.6,-88.4,0.011331203222872586
17105,40.6,-88.3,0.011223320206597847
17105,40.6,-88.2,0.0016215603029385104
17105,40.7,-88.6,0.010945806758588238
17105,40.7,-88.5,0.03464474825020946
17105,40.7,-88.4,0.03464474825020981
17105,40.7,-88.3,0.034644748250210924
17105,40.7,-88.2,0.004294687901594529
17105,40.8,-88.9,0.02660799931475448
17105,40.8,-88.8,0.032796950135027446
17105,40.8,-88.7,0.03238369162059078
17105,40.8,-88.6,0.03294391444103776
17105,40.8,-88.5,0.034593487891869376
17105,40.8,-88.4,0.03459348789187042
17105,40.8,-88.3,0.034593487891871784
17105,40.8,-88.2,0.0032215680984060404
17105,40.9,-88.9,0.028059586609658
17105,40.9,-88.8,0.03454212018057971
17105,40.9,-88.7,0.03454212018057875
17105,40.9,-88.6,0.03454212018057942
17105,40.9,-88.5,0.03454212018058038
17105,40.9,-88.4,0.03454212018057944
17105,40.9,-88.3,0.0345421201805783
17105,40.9,-88.2,0.0020652894091059875
17105,41.0,-88.9,0.027865828515826984
17105,41.0,-88.8,0.03449064525626011
17105,41.0,-88.7,0.03449064525625832
17105,41.0,-88.6,0.034490645256259674
17105,41.0,-88.5,0.03449064525626112
17105,41.0,-88.4,0.03449064525626279
17105,41.0,-88.3,0.034490645256261374
17105,41.0,-88.2,0.0008651409174477146
17105,41.1,-88.9,0.015594810823363841
17105,41.1,-88.8,0.01947763072546376
17105,41.1,-88.7,0.019717483943486096
17105,41.1,-88.6,0.02002663898886546
17105,41.1,-88.5,0.02020577170232124
17105,41.1,-88.4,0.02089790151110389
17105,41.1,-88.3,0.02163281502349088
17105,41.1,-88.2,3.0483462234185064e-05
17113,40.3,-89.3,0.002860872224253457
17113,40.3,-89.2,0.02096437050634436
17113,40.3,-89.1,0.020761299303645567
17113,40.3,-89.0,0.02062508080055566
17113,40.3,-88.9,0.020693399300207072
17113,40.3,-88.8,0.020721679607730335
17113,40.3,-88.7,0.02082942204701522
17113,40.3,-88.6,0.020992071878514252
17113,40.3,-88.5,0.018893804855252907
17113,40.4,-89.3,0.004607806474758213
17113,40.4,-89.2,0.03068172498130342
17113,40.4,-89.1,0.030681724981303733
17113,40.4,-89.0,0.030681724981306467
17113,40.4,-88.9,0.03068172498130657
17113,40.4,-88.8,0.03068172498130673
17113,40.4,-88.7,0.030681724981305548
17113,40.4,-88.6,0.030681724981303084
17113,40.4,-88.5,0.027635962221422315
17113,40.5,-89.3,0.005165798342040288
17113,40.5,-89.2,0.030636812788644302
17113,40.5,-89.1,0.030636812788643313
17113,40.5,-89.0,0.030636812788641422
17113,40.5,-88.9,0.030636812788640017
17113,40.5,-88.8,0.030636812788639896
17113,40.5,-88.7,0.030636812788642193
17113,40.5,-88.6,0.0306368127886451
17113,40.5,-88.5,0.027793671811295308
17113,40.6,-89.3,0.0025451605627873314
17113,40.6,-89.2,0.013950931490437683
17113,40.6,-89.1,0.020505330278973204
17113,40.6,-89.0,0.03022421767480757
17113,40.6,-88.9,0.03059180557354873
17113,40.6,-88.8,0.030591805573548823
17113,40.6,-88.7,0.03059180557354767
17113,40.6,-88.6,0.028073357765644475
17113,40.6,-88.5,0.018589506827704473
17113,40.7,-89.0,0.013572302392586336
17113,40.7,-88.9,0.03054670345834272
17113,40.7,-88.8,0.0305467034583424
17113,40.7,-88.7,0.030546703458341148
17113,40.7,-88.6,0.020895650122577037
17113,40.8,-89.0,0.0002968958055835606
17113,40.8,-88.9,0.0011692325722824138
17113,40.8,-88.8,0.0015840295825997777
17113,40.8,-88.7,0.0019484047312086623
17113,40.8,-88.6,0.001454449334469181
17117,39.0,-90.1,0.021013333247415198
17117,39.0,-90.0,0.021931795588439423
17117,39.0,-89.9,0.021962859989691073
17117,39.0,-89.8,0.022038242562402246
17117,39.0,-89.7,0.011209593138243927
17117,39.1,-90.1,0.04102392292778157
17117,39.1,-90.0,0.04273407391981782
17117,39.1,-89.9,0.04273407391981847
17117,39.1,-89.8,0.04273407391981703
17117,39.1,-89.7,0.021605332334191214
17117,39.2,-90.1,0.04136322004307437
17117,39.2,-90.0,0.0426743743405936
17117,39.2,-89.9,0.042674374340593436
17117,39.2,-89.8,0.04267437434059322
17117,39.2,-89.7,0.02096802085372397
17117,39.3,-90.2,1.0540194162987777e-05
17117,39.3,-90.1,0.04207730307907524
17117,39.3,-90.0,0.04261454271495041
17117,39.3,-89.9,0.042614542714950916
17117,39.3,-89.8,0.0426145427149471
17117,39.3,-89.7,0.02011964364028429
17117,39.4,-90.2,0.0006856008561635653
17117,39.4,-90.1,0.04255457920417501
17117,39.4,-90.0,0.04255457920417561
17117,39.4,-89.9,0.042554579204174686
17117,39.4,-89.8,0.04255457920417839
17117,39.4,-89.7,0.021305937303214686
17117,39.5,-90.2,0.0009805465300886532
17117,39.5,-90.1,0.03009136690568595
17117,39.5,-90.0,0.030431987406308245
17117,39.5,-89.9,0.03071870996054012
17117,39.5,-89.8,0.03096734774509475
17117,39.5,-89.7,0.0152074059516328
17119,38.7,-90.2,0.021962503013400626
17119,38.7,-90.1,0.04558257545730343
17119,38.7,-90.0,0.046220959832994256
17119,38.7,-89.9,0.04675110525387479
17119,38.7,-89.8,0.04751992936875805
17119,38.7,-89.7,0.047792296534800376
17119,38.7,-89.6,0.025510739648414597
17119,38.8,-90.2,0.0030586160857254082
17119,38.8,-90.1,0.039646587374839073
17119,38.8,-90.0,0.050313568378967624
17119,38.8,-89.9,0.05031356837896794
17119,38.8,-89.8,0.05031356837896535
17119,38.8,-89.7,0.050313568378963974
17119,38.8,-89.6,0.02591119768943095
17119,38.9,-90.3,0.0036667622078036975
17119,38.9,-90.2,0.028714934387753768
17119,38.9,-90.1,0.048790514060366365
17119,38.9,-90.0,0.05024403787760079
17119,38.9,-89.9,0.050244037877602434
17119,38.9,-89.8,0.05024403787760292
17119,38.9,-89.7,0.05024403787760102
17119,38.9,-89.6,0.010909034336885864
17119,39.0,-90.3,0.006029468632688401
17119,39.0,-90.2,0.02464948200316727
17119,39.0,-90.1,0.024504154556018988
17119,39.0,-90.0,0.024459932782264736
17119,39.0,-89.9,0.02442351063739356
17119,39.0,-89.8,0.024335126671390102
17119,39.0,-89.7,0.02457293643040198
17119,39.0,-89.6,0.0027572080080516333
17121,38.5,-89.1,0.046066822737302685
17121,38.5,-89.0,0.04868782426947773
17121,38.5,-88.9,0.047665584360874695
17121,38.5,-88.8,0.04817095953760807
17121,38.5,-88.7,0.024753000000055553
17121,38.6,-89.1,0.0590160837153636
17121,38.6,-89.0,0.06480811047233721
17121,38.6,-88.9,0.06480811047233852
17121,38.6,-88.8,0.0648081104723367
17121,38.6,-88.7,0.033386063216531356
17121,38.7,-89.1,0.05747509577452547
17121,38.7,-89.0,0.06471919528101654
17121,38.7,-88.9,0.06471919528101266
17121,38.7,-88.8,0.06471919528101196
17121,38.7,-88.7,0.034004281108122716
17121,38.8,-89.1,0.04198096209389887
17121,38.8,-89.0,0.04739242660323011
17121,38.8,-88.9,0.04802936630435222
17121,38.8,-88.8,0.04829006661135203
17121,38.8,-88.7,0.02649954640725138
17133,38.1,-90.3,0.0023299426189826444
17133,38.1,-90.2,0.048819349364870715
17133,38.1,-90.1,0.030616935413172893
17133,38.1,-90.0,0.002135703999895612
17133,38.2,-90.4,0.0040385974371826595
17133,38.2,-90.3,0.07266788395058703
17133,38.2,-90.2,0.09427725085043642
17133,38.2,-90.1,0.09427725085044077
17133,38.2,-90.0,0.03556661488305833
17133,38.2,-89.9,0.012344195101996823
17133,38.3,-90.4,0.019142350310485105
17133,38.3,-90.3,0.09414976805954593
17133,38.3,-90.2,0.09414976805954586
17133,38.3,-90.1,0.09277136342311171
17133,38.3,-90.0,0.05778935670212298
17133,38.3,-89.9,0.02049429693687907
17133,38.4,-90.4,0.0013606884431719257
17133,38.4,-90.3,0.06899041316699273
17133,38.4,-90.2,0.09179424405272933
17133,38.4,-90.1,0.0254672873624861
17133,38.5,-90.3,0.015659096767827674
17133,38.5,-90.2,0.02115764224447773
17143,40.5,-89.9,0.004019247631044958
17143,40.5,-89.8,0.00469023730882733
17143,40.6,-90.0,0.005424931978281738
17143,40.6,-89.9,0.024341755157226815
17143,40.6,-89.8,0.05716645071941985
17143,40.6,-89.7,0.051835524801989975
17143,40.6,-89.6,0.004945444588926927
17143,40.7,-90.0,0.021114453229410662
17143,40.7,-89.9,0.057467824354669586
17143,40.7,-89.8,0.05746782435467435
17143,40.7,-89.7,0.05746782435467505
17143,40.7,-89.6,0.04309040110529573
