county_fips,state,county,median_acres_1950_2025,complete_1950_2010
18101,INDIANA,MARTIN,6400,True
18103,INDIANA,MIAMI,62400,True
18105,INDIANA,MONROE,6000,True
18107,INDIANA,MONTGOMERY,85700,True
18109,INDIANA,MORGAN,33300,True
18111,INDIANA,NEWTON,64400,True
18113,INDIANA,NOBLE,40750,True
18117,INDIANA,ORANGE,8900,True
18119,INDIANA,OWEN,17500,True
18121,INDIANA,PARKE,39750,True
18123,INDIANA,PERRY,7200,True
18125,INDIANA,PIKE,27500,True
18127,INDIANA,PORTER,50400,True
18129,INDIANA,POSEY,67600,True
18131,INDIANA,PULASKI,71900,True
18133,INDIANA,PUTNAM,49300,True
18135,INDIANA,RANDOLPH,92400,True
18137,INDIANA,RIPLEY,36800,True
18139,INDIANA,RUSH,64500,True
18143,INDIANA,SCOTT,12500,True
18145,INDIANA,SHELBY,68450,True
18147,INDIANA,SPENCER,48000,True
18141,INDIANA,ST. JOSEPH,43700,True
18149,INDIANA,STARKE,33300,True
18151,INDIANA,STEUBEN,20300,True
18153,INDIANA,SULLIVAN,58950,True
18157,INDIANA,TIPPECANOE,81700,True
18159,INDIANA,TIPTON,63300,True
18161,INDIANA,UNION,17800,True
18163,INDIANA,VANDERBURGH,28900,True
18165,INDIANA,VERMILLION,31450,True
18167,INDIANA,VIGO,47600,True
18169,INDIANA,WABASH,63800,True
18171,INDIANA,WARREN,71950,True
18173,INDIANA,WARRICK,32350,True
18175,INDIANA,WASHINGTON,18100,True
18177,INDIANA,WAYNE,47100,True
18179,INDIANA,WELLS,87800,True
18181,INDIANA,WHITE,94700,True
18183,INDIANA,WHITLEY,49650,True
19001,IOWA,ADAIR,65500,True
19003,IOWA,ADAMS,43800,True
19005,IOWA,ALLAMAKEE,4500,True
19007,IOWA,APPANOOSE,32800,True
19009,IOWA,AUDUBON,70500,True
19011,IOWA,BENTON,127750,True
19013,IOWA,BLACK HAWK,89650,True
19015,IOWA,BOONE,107850,True
19017,IOWA,BREMER,62600,True
19019,IOWA,BUCHANAN,76100,True
19021,IOWA,BUENA VISTA,130650,True
19023,IOWA,BUTLER,92850,True
19025,IOWA,CALHOUN,137300,True
19027,IOWA,CARROLL,104400,True
19029,IOWA,CASS,81200,True
19031,IOWA,CEDAR,74500,True
19033,IOWA,CERRO GORDO,100350,True
19035,IOWA,CHEROKEE,102900,True
19037,IOWA,CHICKASAW,70500,True
19039,IOWA,CLARKE,27200,True
19041,IOWA,CLAY,120800,True
19043,IOWA,CLAYTON,6000,True
19045,IOWA,CLINTON,72750,True
19047,IOWA,CRAWFORD,100400,True
19049,IOWA,DALLAS,101150,True
19051,IOWA,DAVIS,37350,True
19053,IOWA,DECATUR,31300,True
19055,IOWA,DELAWARE,29200,True
19057,IOWA,DES MOINES,55050,True
19059,IOWA,DICKINSON,73900,True
19063,IOWA,EMMET,88700,True
19065,IOWA,FAYETTE,76800,True
19067,IOWA,FLOYD,93300,True
19069,IOWA,FRANKLIN,111050,True
19071,IOWA,FREMONT,104700,True
19073,IOWA,GREENE,125300,True
19075,IOWA,GRUNDY,109700,True
19077,IOWA,GUTHRIE,73300,True
19079,IOWA,HAMILTON,119650,True
19081,IOWA,HANCOCK,115950,True
19083,IOWA,HARDIN,101000,True
19085,IOWA,HARRISON,111600,True
19087,IOWA,HENRY,56850,True
19089,IOWA,HOWARD,73000,True
19091,IOWA,HUMBOLDT,104500,True
19093,IOWA,IDA,74100,True
19095,IOWA,IOWA,49600,True
19097,IOWA,JACKSON,9000,True
19099,IOWA,JASPER,100800,True
19101,IOWA,JEFFERSON,56400,True
19103,IOWA,JOHNSON,59300,True
19105,IOWA,JONES,43550,True
19107,IOWA,KEOKUK,63900,True
19109,IOWA,KOSSUTH,222200,True
19111,IOWA,LEE,59300,True
19113,IOWA,LINN,88800,True
19115,IOWA,LOUISA,54600,True
19117,IOWA,LUCAS,24250,True
19119,IOWA,LYON,111900,True
19121,IOWA,MADISON,56200,True
19123,IOWA,MAHASKA,78300,True
19125,IOWA,MARION,56000,True
19127,IOWA,MARSHALL,86800,True
19129,IOWA,MILLS,83350,True
19131,IOWA,MITCHELL,80700,True
19133,IOWA,MONONA,108800,True
19135,IOWA,MONROE,22250,True
19137,IOWA,MONTGOMERY,72750,True
19139,IOWA,MUSCATINE,54350,True
19141,IOWA,O BRIEN,133450,True
19143,IOWA,OSCEOLA,96550,True
19145,IOWA,PAGE,87700,True
19147,IOWA,PALO ALTO,118600,True
19149,IOWA,PLYMOUTH,130200,True
19151,IOWA,POCAHONTAS,145400,True
19153,IOWA,POLK,72250,True
19155,IOWA,POTTAWATTAMIE,159800,True
19157,IOWA,POWESHIEK,78100,True
19159,IOWA,RINGGOLD,43500,True
19161,IOWA,SAC,122300,True
19163,IOWA,SCOTT,46450,True
19165,IOWA,SHELBY,90400,True
19167,IOWA,SIOUX,120700,True
19169,IOWA,STORY,114700,True
19171,IOWA,TAMA,105350,True
19173,IOWA,TAYLOR,57850,True
19175,IOWA,UNION,33500,True
19177,IOWA,VAN BUREN,39900,True
19179,IOWA,WAPELLO,46400,True
19181,IOWA,WARREN,53400,True
19183,IOWA,WASHINGTON,71950,True
19185,IOWA,WAYNE,42650,True
19187,IOWA,WEBSTER,156750,True
19189,IOWA,WINNEBAGO,84000,True
19191,IOWA,WINNESHIEK,18500,True
19193,IOWA,WOODBURY,93600,True
19195,IOWA,WORTH,78900,True
19197,IOWA,WRIGHT,137100,True
27005,MINNESOTA,BECKER,31000,True
27009,MINNESOTA,BENTON,8900,True
27011,MINNESOTA,BIG STONE,68700,True
27013,MINNESOTA,BLUE EARTH,162000,True
27015,MINNESOTA,BROWN,120400,True
27019,MINNESOTA,CARVER,25400,True
27023,MINNESOTA,CHIPPEWA,96400,True
27025,MINNESOTA,CHISAGO,15000,True
27027,MINNESOTA,CLAY,73700,True
27033,MINNESOTA,COTTONWOOD,148300,True
27037,MINNESOTA,DAKOTA,47300,True
27039,MINNESOTA,DODGE,68550,True
27041,MINNESOTA,DOUGLAS,27400,True
27043,MINNESOTA,FARIBAULT,162050,True
27045,MINNESOTA,FILLMORE,45200,True
27047,MINNESOTA,FREEBORN,132600,True
27049,MINNESOTA,GOODHUE,52400,True
27051,MINNESOTA,GRANT,79600,True
27053,MINNESOTA,HENNEPIN,10200,True
27055,MINNESOTA,HOUSTON,4300,True
27059,MINNESOTA,ISANTI,19300,True
27063,MINNESOTA,JACKSON,167600,True
27067,MINNESOTA,KANDIYOHI,93950,True
27073,MINNESOTA,LAC QUI PARLE,132200,True
27079,MINNESOTA,LE SUEUR,69000,True
27081,MINNESOTA,LINCOLN,58450,True
27083,MINNESOTA,LYON,133600,True
27087,MINNESOTA,MAHNOMEN,10200,True
27091,MINNESOTA,MARTIN,160800,True
27085,MINNESOTA,MCLEOD,77450,True
27093,MINNESOTA,MEEKER,74700,True
27095,MINNESOTA,MILLE LACS,4700,True
27099,MINNESOTA,MOWER,142150,True
27101,MINNESOTA,MURRAY,141050,True
27103,MINNESOTA,NICOLLET,81700,True
27105,MINNESOTA,NOBLES,161150,True
27107,MINNESOTA,NORMAN,41250,True
27109,MINNESOTA,OLMSTED,39900,True
27111,MINNESOTA,OTTER TAIL,54100,True
27115,MINNESOTA,PINE,3200,True
27117,MINNESOTA,PIPESTONE,66100,True
27121,MINNESOTA,POPE,46300,True
27127,MINNESOTA,REDWOOD,203750,True
27129,MINNESOTA,RENVILLE,195850,True
27131,MINNESOTA,RICE,45700,True
27133,MINNESOTA,ROCK,87800,True
27139,MINNESOTA,SCOTT,27050,True
27141,MINNESOTA,SHERBURNE,14800,True
27143,MINNESOTA,SIBLEY,108250,True
27145,MINNESOTA,STEARNS,34650,True
27147,MINNESOTA,STEELE,70000,True
27149,MINNESOTA,STEVENS,86050,True
27151,MINNESOTA,SWIFT,104250,True
27153,MINNESOTA,TODD,8000,True
27155,MINNESOTA,TRAVERSE,96500,True
27157,MINNESOTA,WABASHA,16100,True
27161,MINNESOTA,WASECA,79600,True
27163,MINNESOTA,WASHINGTON,13200,True
27165,MINNESOTA,WATONWAN,98150,True
27167,MINNESOTA,WILKIN,100800,True
27169,MINNESOTA,WINONA,9400,True
27171,MINNESOTA,WRIGHT,49200,True
27173,MINNESOTA,YELLOW MEDICINE,148900,True
29001,MISSOURI,ADAIR,35100,True
29003,MISSOURI,ANDREW,62300,True
29007,MISSOURI,AUDRAIN,134500,True
29011,MISSOURI,BARTON,74400,True
29013,MISSOURI,BATES,72200,True
29015,MISSOURI,BENTON,14300,True
29017,MISSOURI,BOLLINGER,17400,True
29019,MISSOURI,BOONE,40100,True
29021,MISSOURI,BUCHANAN,52800,True
29023,MISSOURI,BUTLER,101200,True
29025,MISSOURI,CALDWELL,41850,True
29027,MISSOURI,CALLAWAY,44500,True
29031,MISSOURI,CAPE GIRARDEAU,45300,True
29033,MISSOURI,CARROLL,113000,True
29037,MISSOURI,CASS,57050,True
29041,MISSOURI,CHARITON,111500,True
29045,MISSOURI,CLARK,61000,True
29047,MISSOURI,CLAY,19650,True
29049,MISSOURI,CLINTON,35200,True
29051,MISSOURI,COLE,5750,True
29053,MISSOURI,COOPER,47200,True
29057,MISSOURI,DADE,22350,True
29061,MISSOURI,DAVIESS,70400,True
29063,MISSOURI,DE KALB,35000,True
29069,MISSOURI,DUNKLIN,102250,True
29071,MISSOURI,FRANKLIN,14600,True
29073,MISSOURI,GASCONADE,5100,True
29075,MISSOURI,GENTRY,47800,True
29079,MISSOURI,GRUNDY,60500,True
29081,MISSOURI,HARRISON,54750,True
29083,MISSOURI,HENRY,45000,True
29087,MISSOURI,HOLT,91500,True
29089,MISSOURI,HOWARD,33600,True
29095,MISSOURI,JACKSON,32050,True
29097,MISSOURI,JASPER,39250,True
29099,MISSOURI,JEFFERSON,4700,True
29101,MISSOURI,JOHNSON,46600,True
29103,MISSOURI,KNOX,69100,True
29107,MISSOURI,LAFAYETTE,90900,True
29109,MISSOURI,LAWRENCE,7400,True
29111,MISSOURI,LEWIS,60100,True
29113,MISSOURI,LINCOLN,46900,True
29115,MISSOURI,LINN,53750,True
29117,MISSOURI,LIVINGSTON,94800,True
29121,MISSOURI,MACON,68250,True
29127,MISSOURI,MARION,55150,True
29129,MISSOURI,MERCER,23500,True
29133,MISSOURI,MISSISSIPPI,154400,True
29135,MISSOURI,MONITEAU,14750,True
29137,MISSOURI,MONROE,77300,True
29139,MISSOURI,MONTGOMERY,53650,True
29141,MISSOURI,MORGAN,7600,True
29143,MISSOURI,NEW MADRID,177250,True
29145,MISSOURI,NEWTON,4100,True
29147,MISSOURI,NODAWAY,119000,True
29155,MISSOURI,PEMISCOT,159900,True
29157,MISSOURI,PERRY,26900,True
29159,MISSOURI,PETTIS,66800,True
29163,MISSOURI,PIKE,59400,True
29165,MISSOURI,PLATTE,45100,True
29167,MISSOURI,POLK,1300,True
29171,MISSOURI,PUTNAM,17050,True
29173,MISSOURI,RALLS,67800,True
29175,MISSOURI,RANDOLPH,39600,True
29177,MISSOURI,RAY,68500,True
29195,MISSOURI,SALINE,121050,True
29197,MISSOURI,SCHUYLER,14500,True
29199,MISSOURI,SCOTLAND,47000,True
29201,MISSOURI,SCOTT,90200,True
29205,MISSOURI,SHELBY,83700,True
29183,MISSOURI,ST CHARLES,52600,True
29189,MISSOURI,ST LOUIS,9700,True
29207,MISSOURI,STODDARD,162350,True
29211,MISSOURI,SULLIVAN,23300,True
29217,MISSOURI,VERNON,62900,True
29219,MISSOURI,WARREN,21300,True
29227,MISSOURI,WORTH,19700,True
39003,OHIO,ALLEN,76400,True
39005,OHIO,ASHLAND,20900,True
39007,OHIO,ASHTABULA,9250,True
39011,OHIO,AUGLAIZE,76350,True
39015,OHIO,BROWN,51550,True
39017,OHIO,BUTLER,29500,True
39021,OHIO,CHAMPAIGN,60500,True
39023,OHIO,CLARK,60850,True
39025,OHIO,CLERMONT,30300,True
39027,OHIO,CLINTON,71850,True
39031,OHIO,COSHOCTON,2100,True
39033,OHIO,CRAWFORD,84900,True
39037,OHIO,DARKE,130600,True
39039,OHIO,DEFIANCE,89500,True
39041,OHIO,DELAWARE,70100,True
39043,OHIO,ERIE,28850,True
39045,OHIO,FAIRFIELD,36500,True
39047,OHIO,FAYETTE,90500,True
39049,OHIO,FRANKLIN,33200,True
39057,OHIO,GREENE,56800,True
39061,OHIO,HAMILTON,4100,True
39063,OHIO,HANCOCK,119350,True
39065,OHIO,HARDIN,102400,True
39069,OHIO,HENRY,93850,True
39071,OHIO,HIGHLAND,62700,True
39077,OHIO,HURON,83300,True
39083,OHIO,KNOX,26900,True
39089,OHIO,LICKING,47500,True
39091,OHIO,LOGAN,67900,True
39093,OHIO,LORAIN,47800,True
39097,OHIO,MADISON,109300,True
39101,OHIO,MARION,97800,True
39103,OHIO,MEDINA,19650,True
39107,OHIO,MERCER,89300,True
39109,OHIO,MIAMI,70350,True
39113,OHIO,MONTGOMERY,40450,True
39117,OHIO,MORROW,53400,True
39123,OHIO,OTTAWA,53450,True
39125,OHIO,PAULDING,97800,True
39129,OHIO,PICKAWAY,89500,True
39135,OHIO,PREBLE,62900,True
39137,OHIO,PUTNAM,121550,True
39139,OHIO,RICHLAND,30700,True
39141,OHIO,ROSS,47700,True
39143,OHIO,SANDUSKY,81600,True
39147,OHIO,SENECA,115300,True
39149,OHIO,SHELBY,72600,True
39151,OHIO,STARK,10150,True
39155,OHIO,TRUMBULL,11350,True
39159,OHIO,UNION,95800,True
39161,OHIO,VAN WERT,106950,True
39165,OHIO,WARREN,36950,True
39169,OHIO,WAYNE,18000,True
39171,OHIO,WILLIAMS,72200,True
39173,OHIO,WOOD,123950,True
39175,OHIO,WYANDOT,88300,True
