county_fips,lat,lon,weight
18083,38.9,-87.6,8.409433291021903e-05
18083,38.9,-87.5,0.03373446954397232
18083,38.9,-87.4,0.036850713877319564
18083,38.9,-87.3,0.03669760506664433
18083,38.9,-87.2,0.04055940755823318
18083,38.9,-87.1,0.00989781484576709
18083,38.8,-87.5,0.04423302738982883
18083,38.8,-87.4,0.0710576476831302
18083,38.8,-87.3,0.07026062982486417
18083,38.8,-87.2,0.020160181326294307
18083,38.8,-87.1,0.0006390445829953636
18083,38.7,-87.6,0.008097220331443403
18083,38.7,-87.5,0.053347226664692896
18083,38.7,-87.4,0.07115562561327833
18083,38.7,-87.3,0.06333659479045378
18083,38.7,-87.2,0.0012622162379703988
18083,38.6,-87.7,0.0004855870058310827
18083,38.6,-87.6,0.05634767990704382
18083,38.6,-87.5,0.0712533835665147
18083,38.6,-87.4,0.07125338356651259
18083,38.6,-87.3,0.07094490198723165
18083,38.6,-87.2,0.004401147157588496
18083,38.5,-87.8,0.0005247203468911667
18083,38.5,-87.7,0.029852566258933264
18083,38.5,-87.6,0.05900759611058211
18083,38.5,-87.5,0.02781019170883102
18083,38.5,-87.4,0.012228564908734
18083,38.5,-87.3,0.019369701927455435
18083,38.5,-87.2,0.0003979915909316209
18083,38.4,-87.7,0.01399638464988546
18083,38.4,-87.6,0.0007526796372352635
18183,41.3,-85.7,0.0006836182740671717
18183,41.3,-85.6,0.04806243276339617
18183,41.3,-85.5,0.020763432242432843
18183,41.3,-85.4,0.015835358096836078
18183,41.3,-85.3,0.0063129913963824134
18183,41.2,-85.7,0.01252219377966322
18183,41.2,-85.6,0.10644839958858816
18183,41.2,-85.5,0.10644839958859045
18183,41.2,-85.4,0.10644839958859563
18183,41.2,-85.3,0.03399074317055609
18183,41.1,-85.7,0.037884728365473415
18183,41.1,-85.6,0.10660840609957743
18183,41.1,-85.5,0.10660840609957434
18183,41.1,-85.4,0.10660840609957499
18183,41.1,-85.3,0.01366431308140091
18183,41.0,-85.7,0.017254151539726918
18183,41.0,-85.6,0.05043777827034794
18183,41.0,-85.5,0.04892765906796317
18183,41.0,-85.4,0.04779571785397502
18183,41.0,-85.3,0.006694465033277697
18089,41.7,-87.5,0.019474603642378525
18089,41.7,-87.4,0.007303487314473242
18089,41.6,-87.5,0.05332813029585064
18089,41.6,-87.4,0.0628257852838924
18089,41.6,-87.3,0.05132531206918977
18089,41.6,-87.2,0.014414607576411914
18089,41.5,-87.5,0.053663490020641566
18089,41.5,-87.4,0.07099343966769117
18089,41.5,-87.3,0.07099343966768985
18089,41.5,-87.2,0.021071093095526638
18089,41.4,-87.5,0.05412320784613937
18089,41.4,-87.4,0.07110130146389894
18089,41.4,-87.3,0.07110130146390001
18089,41.4,-87.2,0.021541380222038813
18089,41.3,-87.5,0.05458306757138588
18089,41.3,-87.4,0.07120894237219412
18089,41.3,-87.3,0.07120894237219653
18089,41.3,-87.2,0.02166830570708015
18089,41.2,-87.5,0.04414796039627217
18089,41.2,-87.4,0.05708896368961835
18089,41.2,-87.3,0.033120661311912485
18089,41.2,-87.2,0.0037125769496173908
18051,38.5,-87.7,0.00048111398796710914
18051,38.5,-87.6,0.012671134643840029
18051,38.5,-87.5,0.039348443155229944
18051,38.5,-87.4,0.0006427144380754308
18051,38.4,-87.8,0.011993460819508094
18051,38.4,-87.7,0.05705037410537655
18051,38.4,-87.6,0.07420035022350412
18051,38.4,-87.5,0.07499034458232096
18051,38.4,-87.4,0.04095373535553838
18051,38.4,-87.3,0.007905335414776216
18051,38.3,-88.0,0.000660772298238425
18051,38.3,-87.9,0.028705568618641018
18051,38.3,-87.8,0.06489890208402294
18051,38.3,-87.7,0.0750922546696519
18051,38.3,-87.6,0.07509225466965533
18051,38.3,-87.5,0.07509225466965423
18051,38.3,-87.4,0.0750922546696549
18051,38.3,-87.3,0.02502187493467424
18051,38.2,-88.0,0.0033852769104885444
18051,38.2,-87.9,0.015416444758669271
18051,38.2,-87.8,0.02598834903380322
18051,38.2,-87.7,0.04614289884970907
18051,38.2,-87.6,0.06203716325855227
18051,38.2,-87.5,0.058620090498545316
18051,38.2,-87.4,0.036494252565198324
18051,38.2,-87.3,0.01202238078470419
18071,39.1,-86.1,1.0687385766407277e-05
18071,39.1,-85.9,0.00020646581953751088
18071,39.1,-85.8,0.005877029791616619
18071,39.0,-86.3,0.03722410683961757
18071,39.0,-86.2,0.07123601017329698
18071,39.0,-86.1,0.06897650499551825
18071,39.0,-86.0,0.06312050450627985
18071,39.0,-85.9,0.065805862428964
18071,39.0,-85.8,0.03778863869275983
18071,38.9,-86.3,0.020293002638757898
18071,38.9,-86.2,0.07235873512238408
18071,38.9,-86.1,0.07235873512238139
18071,38.9,-86.0,0.07235873512237838
18071,38.9,-85.9,0.07235873512238114
18071,38.9,-85.8,0.03882705881693235
18071,38.8,-86.3,0.015723001915167276
18071,38.8,-86.2,0.054716612677629
18071,38.8,-86.1,0.056589151990751305
18071,38.8,-86.0,0.06449028905252487
18071,38.8,-85.9,0.07085803006109853
18071,38.8,-85.8,0.03129574816042689
18071,38.7,-85.9,0.006748770459769839
18071,38.7,-85.8,0.0007775831040600894
18061,38.4,-86.3,0.004533250301088031
18061,38.4,-86.2,0.054904244784714784
18061,38.4,-86.1,0.05318477783965956
18061,38.4,-86.0,0.00904971144220384
18061,38.3,-86.3,0.017854821584437016
18061,38.3,-86.2,0.07709715781631515
18061,38.3,-86.1,0.0771252662456778
18061,38.3,-86.0,0.03767408193073482
18061,38.2,-86.3,0.03494295148371702
18061,38.2,-86.2,0.07722969713692494
18061,38.2,-86.1,0.07722969713693276
18061,38.2,-86.0,0.07435382425370572
18061,38.2,-85.9,0.012513715781861499
18061,38.1,-86.3,0.018632627827618136
18061,38.1,-86.2,0.07733388948769054
18061,38.1,-86.1,0.07733388948769208
18061,38.1,-86.0,0.07733388948769342
18061,38.1,-85.9,0.031608227705769446
18061,38.0,-86.3,9.959484116265297e-05
18061,38.0,-86.2,0.020993814266819972
18061,38.0,-86.1,0.03702954908330538
18061,38.0,-86.0,0.04357743943747992
18061,38.0,-85.9,0.008363880636795419
17027,38.7,-89.7,0.0021886104264991794
17027,38.7,-89.6,0.03396926467089469
17027,38.7,-89.5,0.06742526711148165
17027,38.7,-89.4,0.06745840284369176
17027,38.7,-89.3,0.06798261370563106
17027,38.7,-89.2,0.06629738594670548
17027,38.7,-89.1,0.00714201682213
17027,38.6,-89.7,0.041659970623782565
17027,38.6,-89.6,0.07420805820729288
17027,38.6,-89.5,0.0742080582072902
17027,38.6,-89.4,0.07420805820728925
17027,38.6,-89.3,0.07420805820730224
17027,38.6,-89.2,0.07420805820729012
17027,38.6,-89.1,0.006632118350424652
17027,38.5,-89.7,0.04074744726604827
17027,38.5,-89.6,0.05976177644388442
17027,38.5,-89.5,0.055123942879635346
17027,38.5,-89.4,0.039163285584288374
17027,38.5,-89.3,0.030149150434512214
17027,38.5,-89.2,0.032827643643116876
17027,38.5,-89.1,0.002364202319872092
17027,38.4,-89.7,0.007529848832664466
17027,38.4,-89.6,0.0005367610582721169
17079,39.2,-88.4,0.0016678577093233436
17079,39.2,-88.3,0.015785935444989064
17079,39.2,-88.2,0.015970766618938655
17079,39.2,-88.1,0.016683856437035842
17079,39.2,-88.0,0.017858910314614368
17079,39.2,-87.9,1.5225996867359714e-06
17079,39.1,-88.4,0.00798060152977413
17079,39.1,-88.3,0.07441694158017836
17079,39.1,-88.2,0.07441694158018261
17079,39.1,-88.1,0.07441694158018049
17079,39.1,-88.0,0.07441694158018045
